ID,버거킹 매장수,맥도날드 매장수,KFC 매장수,롯데리아 매장수,맘스터치 매장수,버거지수,y,x
양양,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0
영양,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0
청송,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0
신안,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0
고양 일산동,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
고양 일산서,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
고양 덕양,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
안양 만안,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0
안양 동안,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0
안산 상록,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0
성남 중원,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0
안산 단원,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0
성남 분당,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0
성남 수정,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
용인 수지,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0
수원 영통,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0
용인 기흥,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0
용인 처인,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0
수원 권선,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0
수원 장안,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0
포항 북구,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0
천안 동남,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0
천안 서북,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0
수원 팔달,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0
포항 남구,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0
청주 흥덕,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0
청주 청원,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0
청주 상당,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0
청주 서원,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0
전주 덕진,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0
전주 완산,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0
창원 합포,0.0,0.0,0.0,0.0,0.0,0.0,19.0,8.0
창원 의창,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6.0
창원 성산,0.0,0.0,0.0,0.0,0.0,0.0,20.0,7.0
창원 진해,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0
창원 회원,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.0
